record_id,cns_panel_code,mouse_number,strain,sex,dob,cns_model_id,passage,cell_number,volume,site_of_injection,date_of_injection,cns_group,treatment_drug,treatment_scheme,date_treatment_started,date_treatment_ended,route_of_administration,date_ended,outcome,visible_tumor,unexpected_event,survival_time_days,survival_counted,user,cns_data_complete,record_complete,redcap_event_name
1817-IC-6634GBM-1-3066,1817-IC-6634GBM-1,3066,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,,,,,,*,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3067,1817-IC-6634GBM-1,3067,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,,,,,,*,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3068,1817-IC-6634GBM-1,3068,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,6/1/2021,sick_euthanized,Yes,,77,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3069,1817-IC-6634GBM-1,3069,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,6/3/2021,sick_euthanized,Yes,,79,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3070,1817-IC-6634GBM-1,3070,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/23/2021,sick_euthanized,Yes,,68,yes,YD/ml2,2,2,cns_arm_8
1817-IC-6634GBM-1-3071,1817-IC-6634GBM-1,3071,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,,,,,,*,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3072,1817-IC-6634GBM-1,3072,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,6/1/2021,sick_euthanized,Yes,,77,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3073,1817-IC-6634GBM-1,3073,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,6/1/2021,sick_euthanized,Yes,,77,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3074,1817-IC-6634GBM-1,3074,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/24/2021,sick_euthanized,Yes,,69,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3075,1817-IC-6634GBM-1,3075,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,,,,,,*,YD2,2,2,cns_arm_8
