record_id,record_description,st_template_version,st_panel_code,tumor,dose,schedule,st_passage,transplant_date,treatment_date,treatment_end_date,technician,study_end_date,group,dataset,dataset_date,day,mouse,diameter_x,diameter_y,unexpect_event,event_comment,reason,status,weight,cage_a_wt,cage_b_wt,solid_tumor_data_complete,record_complete,redcap_event_name
1816-OS2-1-A7-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,A1,5.3,5.1,,,,,18,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-A2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,A2,6.4,5.8,,,,,19,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-A3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,A3,6.3,6,,,,,21,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-A4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,A4,5.8,5.3,,,,,18,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,A5,6.2,5.7,,,,,18,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-B1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,B1,6.6,6.1,,,,,19,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,B2,6.5,5.1,,,,,21,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-B3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,B3,5.9,5.5,,,,,18,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,B4,6.1,5.6,,,,,20,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A7-B5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 2,12/22/2020,7,B5,6.7,5.9,,,,,21,94,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,A1,6.4,6.2,,,,,18,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-A2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,A2,7.1,5.9,,,,,20,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-A3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,A3,7.7,6,,,,,21,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-A4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,A4,6,5.3,,,,,19,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,A5,6.9,6.3,,,,,18,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-B1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,B1,7.6,6.4,,,,,18,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,B2,7.2,6.3,,,,,21,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-B3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,B3,7.2,5.8,,,,,18,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,B4,6.9,6.4,,,,,18,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A14-B5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 3,12/29/2020,14,B5,7,6.5,,,,,21,96,96,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,A1,8,7.5,,,,,19,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-A2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,A2,9.6,6.2,,,,,20,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-A3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,A3,7.4,5.2,,,,,20,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-A4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,A4,7,4.9,,,,,19,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,A5,8.1,7.5,,,,,17,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-B1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,B1,8.8,8.1,,,,,19,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,B2,7.6,6.2,,,,,21,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-B3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,B3,8.1,7.3,,,,,18,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,B4,7.1,6.6,,,,,19,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A21-B5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 4,1/5/2021,21,B5,8.7,7.6,,,,,21,95,98,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,A1,9.8,8.9,,,,,19,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-A2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,A2,12,8.8,,,,,20,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-A3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,A3,9.5,8,,,,,21,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-A4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,A4,7.2,5.9,,,,,19,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,A5,8.8,8.5,,,,,17,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-B1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,B1,12.7,11.1,,,,,20,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,B2,9.8,7,,,,,21,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-B3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,B3,10.9,9.1,,,,,18,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,B4,7.1,6.5,,,,,19,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A28-B5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 5,1/12/2021,28,B5,9.8,9.5,,,,,22,96,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A35-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 6,1/19/2021,35,A5,11.8,10.8,,,,,18,18,40,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A35-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 6,1/19/2021,35,B2,10.1,7.6,,,,,21,18,40,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A35-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 6,1/19/2021,35,B4,7.1,6.4,,,,,19,18,40,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A42-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 7,1/26/2021,42,B4,9.2,7.2,,,,,18,0,18,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A49-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 8,2/2/2021,49,B4,10.5,8,,,,,18,0,18,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,A1,5.6,5.3,,,,,18,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-A2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,A2,6,4.8,,,,,20,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-A3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,A3,6,5.2,,,,,18,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-A4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,A4,5.2,5.1,,,,,20,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,A5,5.5,5.3,,,,,19,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-B1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,B1,5.8,5,,,,,22,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,B2,6,5.6,,,,,22,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-B3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,B3,6.6,6,,,,,19,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,B4,6.6,6.4,,,,,21,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B0-B5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 1,12/15/2020,0,B5,6.5,6.3,,,,,21,95,105,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,A1,5.6,5.1,,,,,16,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-A2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,A2,6,4.8,,,,,20,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-A3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,A3,5.6,5.1,,,,,16,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-A4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,A4,4.8,4.6,,,,,20,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,A5,4.9,4.7,,,,,19,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-B1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,B1,5.4,4.7,,,,,22,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,B2,5.8,5.5,,,,,22,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-B3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,B3,6.1,5.9,,,,,19,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,B4,6.1,6,,,,,21,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B7-B5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 2,12/22/2020,7,B5,6.4,6.1,,,,,20,91,104,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,A1,2,1,,,,,16,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-A2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,A2,3.2,2.1,,,,,19,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-A3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,A3,1.2,1,,,,,16,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-A4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,A4,1,1,,,,,21,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,A5,1.1,1.1,,,,,19,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-B1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,B1,2,1,,,,,21,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,B2,3.5,3.1,,,,,22,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-B3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,B3,4.4,3.6,,,,,18,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,B4,3.3,2.5,,,,,19,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B14-B5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 3,12/29/2020,14,B5,3.1,2.4,,,,,20,91,100,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-B21-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,MGC018 6mg/kg  IP,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,B,Time point 4,1/5/2021,21,A1,3,2,,,,,17,94,104,2,2,sarcoma_and_renal_arm_6
