record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_bleed,cd45,code,footnote,death_date,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-25-1-c-189-4-3,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 4-3","7/8/2019","7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-196-4-3,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 4-3","7/15/2019","36.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-189-4-4,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 4-4","7/8/2019","4.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-196-4-4,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 4-4","7/15/2019","27","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-189-14-1,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-1","7/8/2019","3.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-196-14-1,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-1","7/15/2019","36","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-189-14-2,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-2","7/8/2019","4.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-196-14-2,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-2","7/15/2019","28.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-189-14-3,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-3","7/8/2019","4.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-196-14-3,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-3","7/15/2019","31.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-189-14-4,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-4","7/8/2019","7.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-196-14-4,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-4","7/15/2019","24.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-203-14-4,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-4","7/22/2019","32.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-189-14-5,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-5","7/8/2019","3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-196-14-5,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-5","7/15/2019","26.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-189-15-5,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 15-5","7/8/2019","7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-196-15-5,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 15-5","7/15/2019","30.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-189-15-6,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 15-6","7/8/2019","5.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-t-196-15-6,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 15-6","7/15/2019","32.7","0","","","7","0","0","7","2",all_arm_7
