record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-57-1-c-179-5-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-4","6/28/2019","21","","","","","","","2",all_arm_7
1806-ALL-57-1-c-186-5-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-4","7/5/2019","21.4","","","","","","","2",all_arm_7
1806-ALL-57-1-c-193-5-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-4","7/12/2019","20.9","","","","","","","2",all_arm_7
1806-ALL-57-1-c-200-5-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-4","7/19/2019","21.4","","","","","","","2",all_arm_7
1806-ALL-57-1-c-207-5-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-4","7/26/2019","25.5","","","","","","","2",all_arm_7
1806-ALL-57-1-c-179-5-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-5","6/28/2019","21.7","","","","","","","2",all_arm_7
1806-ALL-57-1-c-186-5-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-5","7/5/2019","20.5","","","","","","","2",all_arm_7
1806-ALL-57-1-c-189-5-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-5","7/8/2019","21.3","","","","","","","2",all_arm_7
1806-ALL-57-1-c-193-5-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-5","7/12/2019","21.5","","","","","","","2",all_arm_7
1806-ALL-57-1-c-200-5-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-5","7/19/2019","21.8","","","","","","","2",all_arm_7
1806-ALL-57-1-c-207-5-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-5","7/26/2019","26.4","","","","","","","2",all_arm_7
1806-ALL-57-1-c-179-8-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 8-5","6/28/2019","22.6","","","","","","","2",all_arm_7
1806-ALL-57-1-c-186-8-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 8-5","7/5/2019","24.8","","","","","","","2",all_arm_7
1806-ALL-57-1-c-193-8-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 8-5","7/12/2019","23.8","","","","","","","2",all_arm_7
1806-ALL-57-1-c-200-8-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 8-5","7/19/2019","24.2","","","","","","","2",all_arm_7
1806-ALL-57-1-c-179-8-6-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 8-6","6/28/2019","21.7","","","","","","","2",all_arm_7
1806-ALL-57-1-c-186-8-6-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 8-6","7/5/2019","21.2","","","","","","","2",all_arm_7
1806-ALL-57-1-c-193-8-6-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 8-6","7/12/2019","22.3","","","","","","","2",all_arm_7
1806-ALL-57-1-c-200-8-6-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 8-6","7/19/2019","21.9","","","","","","","2",all_arm_7
1806-ALL-57-1-t-179-16-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-2","6/28/2019","20.1","","","","","","","2",all_arm_7
1806-ALL-57-1-t-186-16-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-2","7/5/2019","21.2","","","","","","","2",all_arm_7
1806-ALL-57-1-t-193-16-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-2","7/12/2019","21.9","","","","","","","2",all_arm_7
1806-ALL-57-1-t-200-16-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-2","7/19/2019","22","","","","","","","2",all_arm_7
1806-ALL-57-1-t-207-16-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-2","7/26/2019","20.3","","","","","","","2",all_arm_7
1806-ALL-57-1-t-179-16-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-3","6/28/2019","24.7","","","","","","","2",all_arm_7
1806-ALL-57-1-t-186-16-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-3","7/5/2019","25.7","","","","","","","2",all_arm_7
1806-ALL-57-1-t-193-16-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-3","7/12/2019","25.7","","","","","","","2",all_arm_7
1806-ALL-57-1-t-200-16-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-3","7/19/2019","25.3","","","","","","","2",all_arm_7
1806-ALL-57-1-t-179-16-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-4","6/28/2019","23.5","","","","","","","2",all_arm_7
1806-ALL-57-1-t-186-16-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-4","7/5/2019","23","","","","","","","2",all_arm_7
1806-ALL-57-1-t-193-16-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-4","7/12/2019","21.3","","","","","","","2",all_arm_7
1806-ALL-57-1-t-196-16-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-4","7/15/2019","22.8","","","","","","","2",all_arm_7
1806-ALL-57-1-t-200-16-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-4","7/19/2019","23","","","","","","","2",all_arm_7
1806-ALL-57-1-t-179-16-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-5","6/28/2019","23","","","","","","","2",all_arm_7
1806-ALL-57-1-t-186-16-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-5","7/5/2019","22.9","","","","","","","2",all_arm_7
1806-ALL-57-1-t-193-16-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-5","7/12/2019","22","","","","","","","2",all_arm_7
1806-ALL-57-1-t-200-16-5-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-5","7/19/2019","23","","","","","","","2",all_arm_7
1806-ALL-57-1-t-179-16-6-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-6","6/28/2019","23.5","","","","","","","2",all_arm_7
1806-ALL-57-1-t-186-16-6-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-6","7/5/2019","23.9","","","","","","","2",all_arm_7
1806-ALL-57-1-t-193-16-6-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-6","7/12/2019","22.8","","","","","","","2",all_arm_7
1806-ALL-57-1-t-200-16-6-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 16-6","7/19/2019","24","","","","","","","2",all_arm_7
1806-ALL-57-1-t-179-19-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 19-3","6/28/2019","21.7","","","","","","","2",all_arm_7
1806-ALL-57-1-t-186-19-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 19-3","7/5/2019","23.8","","","","","","","2",all_arm_7
1806-ALL-57-1-t-193-19-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 19-3","7/12/2019","24.3","","","","","","","2",all_arm_7
1806-ALL-57-1-t-200-19-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 19-3","7/19/2019","23.8","","","","","","","2",all_arm_7
1806-ALL-57-1-t-179-19-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 19-4","6/28/2019","22.5","","","","","","","2",all_arm_7
1806-ALL-57-1-t-186-19-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 19-4","7/5/2019","22.7","","","","","","","2",all_arm_7
1806-ALL-57-1-t-193-19-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 19-4","7/12/2019","24.6","","","","","","","2",all_arm_7
1806-ALL-57-1-t-200-19-4-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Treatment (B)","1806"," 19-4","7/19/2019","22.3","","","","","","","2",all_arm_7
