record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-2-1-c-186-1-4-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-4","7/5/2019","22.9","","","","","","","2",all_arm_7
1806-ALL-2-1-c-193-1-4-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-4","7/12/2019","23.1","","","","","","","2",all_arm_7
1806-ALL-2-1-c-200-1-4-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-4","7/19/2019","23.3","","","","","","","2",all_arm_7
1806-ALL-2-1-c-207-1-4-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-4","7/26/2019","24.3","","","","","","","2",all_arm_7
1806-ALL-2-1-c-214-1-4-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-4","8/2/2019","27","","","","","","","2",all_arm_7
1806-ALL-2-1-c-186-1-5-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-5","7/5/2019","24.1","","","","","","","2",all_arm_7
1806-ALL-2-1-c-193-1-5-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-5","7/12/2019","23","","","","","","","2",all_arm_7
1806-ALL-2-1-c-200-1-5-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-5","7/19/2019","24.9","","","","","","","2",all_arm_7
1806-ALL-2-1-c-186-1-6-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-6","7/5/2019","25.5","","","","","","","2",all_arm_7
1806-ALL-2-1-c-193-1-6-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-6","7/12/2019","24.9","","","","","","","2",all_arm_7
1806-ALL-2-1-c-200-1-6-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-6","7/19/2019","26.2","","","","","","","2",all_arm_7
1806-ALL-2-1-c-186-4-5-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 4-5","7/5/2019","25.8","","","","","","","2",all_arm_7
1806-ALL-2-1-c-193-4-5-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 4-5","7/12/2019","25.1","","","","","","","2",all_arm_7
1806-ALL-2-1-c-200-4-5-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 4-5","7/19/2019","27","","","","","","","2",all_arm_7
1806-ALL-2-1-c-186-4-6-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 4-6","7/5/2019","25.5","","","","","","","2",all_arm_7
1806-ALL-2-1-c-193-4-6-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 4-6","7/12/2019","26.6","","","","","","","2",all_arm_7
1806-ALL-2-1-c-200-4-6-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 4-6","7/19/2019","26.8","","","","","","","2",all_arm_7
1806-ALL-2-1-c-207-4-6-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 4-6","7/26/2019","26.6","","","","","","","2",all_arm_7
1806-ALL-2-1-c-214-4-6-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 4-6","8/2/2019","26","","","","","","","2",all_arm_7
1806-ALL-2-1-t-186-12-1-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-1","7/5/2019","25.8","","","","","","","2",all_arm_7
1806-ALL-2-1-t-193-12-1-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-1","7/12/2019","25.5","","","","","","","2",all_arm_7
1806-ALL-2-1-t-200-12-1-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-1","7/19/2019","25.9","","","","","","","2",all_arm_7
1806-ALL-2-1-t-186-12-2-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-2","7/5/2019","22.8","","","","","","","2",all_arm_7
1806-ALL-2-1-t-193-12-2-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-2","7/12/2019","23.5","","","","","","","2",all_arm_7
1806-ALL-2-1-t-200-12-2-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-2","7/19/2019","22.6","","","","","","","2",all_arm_7
1806-ALL-2-1-t-207-12-2-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-2","7/26/2019","22.5","","","","","","","2",all_arm_7
1806-ALL-2-1-t-186-12-3-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-3","7/5/2019","24.6","","","","","","","2",all_arm_7
1806-ALL-2-1-t-193-12-3-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-3","7/12/2019","26.2","","","","","","","2",all_arm_7
1806-ALL-2-1-t-200-12-3-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-3","7/19/2019","25.6","","","","","","","2",all_arm_7
1806-ALL-2-1-t-186-12-4-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-4","7/5/2019","24.4","","","","","","","2",all_arm_7
1806-ALL-2-1-t-193-12-4-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-4","7/12/2019","24.3","","","","","","","2",all_arm_7
1806-ALL-2-1-t-200-12-4-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-4","7/19/2019","26.3","","","","","","","2",all_arm_7
1806-ALL-2-1-t-186-12-5-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-5","7/5/2019","24.5","","","","","","","2",all_arm_7
1806-ALL-2-1-t-193-12-5-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-5","7/12/2019","24.8","","","","","","","2",all_arm_7
1806-ALL-2-1-t-200-12-5-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 12-5","7/19/2019","24.8","","","","","","","2",all_arm_7
1806-ALL-2-1-t-186-15-3-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 15-3","7/5/2019","22","","","","","","","2",all_arm_7
1806-ALL-2-1-t-193-15-3-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 15-3","7/12/2019","22.8","","","","","","","2",all_arm_7
1806-ALL-2-1-t-200-15-3-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 15-3","7/19/2019","22.5","","","","","","","2",all_arm_7
1806-ALL-2-1-t-207-15-3-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 15-3","7/26/2019","23.2","","","","","","","2",all_arm_7
1806-ALL-2-1-t-186-15-4-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 15-4","7/5/2019","23.7","","","","","","","2",all_arm_7
1806-ALL-2-1-t-193-15-4-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 15-4","7/12/2019","24.8","","","","","","","2",all_arm_7
1806-ALL-2-1-t-200-15-4-weight,"Data - ALL","1806-ALL-2-1","1806","5mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Treatment (B)","1806"," 15-4","7/19/2019","24.5","","","","","","","2",all_arm_7
