record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-83-1-c-235-7-4-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-4","8/23/2019","27.8","","","","","","","2",all_arm_7
1806-ALL-83-1-c-242-7-4-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-4","8/30/2019","28.1","","","","","","","2",all_arm_7
1806-ALL-83-1-c-249-7-4-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-4","9/6/2019","26.9","","","","","","","2",all_arm_7
1806-ALL-83-1-c-228-7-5-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-5","8/16/2019","28.5","","","","","","","2",all_arm_7
1806-ALL-83-1-c-235-7-5-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-5","8/23/2019","28.7","","","","","","","2",all_arm_7
1806-ALL-83-1-c-242-7-5-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-5","8/30/2019","27.8","","","","","","","2",all_arm_7
1806-ALL-83-1-c-249-7-5-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-5","9/6/2019","26.9","","","","","","","2",all_arm_7
1806-ALL-83-1-c-228-8-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 8-1","8/16/2019","27.6","","","","","","","2",all_arm_7
1806-ALL-83-1-c-235-8-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 8-1","8/23/2019","29.1","","","","","","","2",all_arm_7
1806-ALL-83-1-c-242-8-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 8-1","8/30/2019","28.7","","","","","","","2",all_arm_7
1806-ALL-83-1-c-249-8-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 8-1","9/6/2019","29.1","","","","","","","2",all_arm_7
1806-ALL-83-1-c-228-8-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 8-2","8/16/2019","25.3","","","","","","","2",all_arm_7
1806-ALL-83-1-c-235-8-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 8-2","8/23/2019","25.7","","","","","","","2",all_arm_7
1806-ALL-83-1-c-242-8-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 8-2","8/30/2019","26","","","","","","","2",all_arm_7
1806-ALL-83-1-c-249-8-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 8-2","9/6/2019","26.9","","","","","","","2",all_arm_7
1806-ALL-83-1-t-228-18-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-1","8/16/2019","21.6","","","","","","","2",all_arm_7
1806-ALL-83-1-t-235-18-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-1","8/23/2019","20.8","","","","","","","2",all_arm_7
1806-ALL-83-1-t-242-18-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-1","8/30/2019","21.1","","","","","","","2",all_arm_7
1806-ALL-83-1-t-249-18-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-1","9/6/2019","21.9","","","","","","","2",all_arm_7
1806-ALL-83-1-t-228-18-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-2","8/16/2019","29.8","","","","","","","2",all_arm_7
1806-ALL-83-1-t-235-18-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-2","8/23/2019","29.5","","","","","","","2",all_arm_7
1806-ALL-83-1-t-242-18-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-2","8/30/2019","28.6","","","","","","","2",all_arm_7
1806-ALL-83-1-t-249-18-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-2","9/6/2019","29.5","","","","","","","2",all_arm_7
1806-ALL-83-1-t-228-18-3-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-3","8/16/2019","27.3","","","","","","","2",all_arm_7
1806-ALL-83-1-t-235-18-3-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-3","8/23/2019","27","","","","","","","2",all_arm_7
1806-ALL-83-1-t-242-18-3-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-3","8/30/2019","27.5","","","","","","","2",all_arm_7
1806-ALL-83-1-t-249-18-3-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-3","9/6/2019","26.8","","","","","","","2",all_arm_7
1806-ALL-83-1-t-228-18-4-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-4","8/16/2019","27.6","","","","","","","2",all_arm_7
1806-ALL-83-1-t-235-18-4-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-4","8/23/2019","27.3","","","","","","","2",all_arm_7
1806-ALL-83-1-t-242-18-4-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-4","8/30/2019","27.5","","","","","","","2",all_arm_7
1806-ALL-83-1-t-249-18-4-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-4","9/6/2019","27.8","","","","","","","2",all_arm_7
1806-ALL-83-1-t-228-18-5-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-5","8/16/2019","26.5","","","","","","","2",all_arm_7
1806-ALL-83-1-t-235-18-5-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-5","8/23/2019","25.8","","","","","","","2",all_arm_7
1806-ALL-83-1-t-242-18-5-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-5","8/30/2019","26.5","","","","","","","2",all_arm_7
1806-ALL-83-1-t-249-18-5-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 18-5","9/6/2019","27.6","","","","","","","2",all_arm_7
1806-ALL-83-1-t-228-19-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 19-1","8/16/2019","26.8","","","","","","","2",all_arm_7
1806-ALL-83-1-t-235-19-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 19-1","8/23/2019","26.9","","","","","","","2",all_arm_7
1806-ALL-83-1-t-242-19-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 19-1","8/30/2019","26.6","","","","","","","2",all_arm_7
1806-ALL-83-1-t-228-19-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 19-2","8/16/2019","26.5","","","","","","","2",all_arm_7
1806-ALL-83-1-t-235-19-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 19-2","8/23/2019","27","","","","","","","2",all_arm_7
1806-ALL-83-1-t-242-19-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 19-2","8/30/2019","27.2","","","","","","","2",all_arm_7
1806-ALL-83-1-t-249-19-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Treatment (B)","1806"," 19-2","9/6/2019","27.4","","","","","","","2",all_arm_7
