record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_bleed,cd45,code,footnote,death_date,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-82-1-c-197-8-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 8-4","7/16/2019","14","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-204-8-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 8-4","7/23/2019","47.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-183-17-2,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-2","7/2/2019","2.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-190-17-2,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-2","7/9/2019","5.5","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-197-17-2,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-2","7/16/2019","9.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-204-17-2,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-2","7/23/2019","25.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-183-17-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-3","7/2/2019","2.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-190-17-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-3","7/9/2019","10.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-197-17-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-3","7/16/2019","13","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-204-17-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-3","7/23/2019","50.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-183-17-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-4","7/2/2019","4.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-190-17-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-4","7/9/2019","11.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-197-17-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-4","7/16/2019","21.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-204-17-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-4","7/23/2019","51","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-183-17-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-5","7/2/2019","4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-190-17-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-5","7/9/2019","5.5","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-197-17-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-5","7/16/2019","20.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-204-17-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-5","7/23/2019","51.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-183-17-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-6","7/2/2019","3.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-190-17-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-6","7/9/2019","11.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-197-17-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-6","7/16/2019","23.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-204-17-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 17-6","7/23/2019","53.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-183-19-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 19-5","7/2/2019","4.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-190-19-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 19-5","7/9/2019","20.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-197-19-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 19-5","7/16/2019","26.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-183-19-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 19-6","7/2/2019","3.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-190-19-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 19-6","7/9/2019","14","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-t-197-19-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Treatment (B)","1806"," 19-6","7/16/2019","28.3","0","","","7","0","0","7","2",all_arm_7
